-27266,10961,216,-16971,-19989,-24741,5394,-3968,-14879,-15731,-24741,101,-6346,-11843,-18680,-24741,6421,-11017,-7004,-19837,25295,17599,-10373,-8341,-19975,13308,21283,-8251,-12245,-21465,11493,28310,-3332,-12384,-22336,2252,-32034,-1240,-14469,-20985
12080,20478,-5812,-15693,-20688,25983,23159,-2814,-13451,-21671,15505,25278,-4555,-11865,-15856,7466,29851,540,-9717,-14984,-8771,-30105,7057,-8574,-9130,24421,20828,-6510,-11671,-15676,11829,26029,-3828,-8369,-17432,-1352,32373,10882,-6067,-19463
-7228,32560,-6844,-8259,-10816,12451,14546,-5846,-7897,-11630,19763,13475,-9542,-6265,-15434,19229,13123,-8856,-16011,-1903,29764,3417,-3480,-13283,-9904,29331,-1340,-15760,-6412,14583,20171,2000,2271,-7936,-11480,29912,3724,-9853,-17724,13904
18352,-7332,-2085,-14929,4562,28246,700,-5131,-11971,-2952,26257,429,-4622,-13542,-875,27118,237,-5032,-17369,3597,28503,-1610,-5094,-9887,-4210,28714,7732,-4498,-14141,-8137,32182,10712,-5959,-5016,-9509,7420,28217,4873,-1733,-14047
28328,5431,-7456,-3951,-7340,6865,21889,1996,234,-11889,1895,27577,9644,594,-4022,-16382,32154,4848,-6335,-4779,-13825,28669,9339,-1787,-4398,-13116,12272,16276,-1789,-2525,-11383,-6294,-30727,6062,-2356,-5923,-15386,31282,886,-6049
2214,2342,2327,2290,1137,7979,11490,-6996,-8668,-16872,-24741,4480,-803,-7583,3819,-27680,20139,12618,5653,-27836,-24741,6461,-3277,-9608,1508,18768,-217,1851,-3388,-1432,-31647,-5264,-1977,2555,-10636,-27409,8534,-2915,2743,-12413
-30666,6563,886,-9252,-1408,-27484,6875,-1154,-5507,-10337,-32084,7319,273,2920,-12732,23966,21390,2313,-10549,-9770,28701,10369,-1147,-7539,-12971,-32369,6551,-2040,-4818,-9644,-31106,11730,3802,-8909,-5968,29833,5479,-1167,-12424,3407
24464,8198,-6771,-16063,25990,14944,5854,-5042,-9703,17256,21336,14516,9794,-338,-10512,11254,12503,12749,8960,1635,-13483,9255,17023,189,969,-1617,-5442,18525,17671,10915,5427,-7899,-9746,21331,17059,10213,7508,570,-9267,9139
-22,15555,10210,9384,13636,-2503,-6576,12176,10007,13290,9445,10369,-7101,-58,12825,9686,7519,3400,-17451,15306,15957,9546,6067,-4044,-15865,14977,16047,-134,2593,-2386,-7069,14307,18795,10900,7937,-2921,-10450,15641,17034,6642
1973,1988,1972,1994,1971,1914,1846,1531,1571,1391,1196,1209,1134,1037,1123,1123,1008,881,892,657,1449,30,-934,-150,395,-2035,-387,9850,169,-7571,-10122,19016,21560,14211,954,-13853,29476,12501,2910,-3188
