632,623,606,425,963,1151,1356,1298,965,805,-2294,-8643,-7553,988,1935,2636,478,-7234,-17596,-20329,-5907,1602,8100,-8658,208,175,-2524,-2580,-3169,-2702,-1993,1307,2546,-5307,-7691,-6078,-6136,-4419,-2127,-1317
62,138,182,184,210,199,206,138,143,150,156,506,1317,3147,4317,1899,-150,697,41,-5362,-14474,-26600,-23785,5710,8538,2113,-3838,-49,2191,-1581,-1487,-1889,-554,2170,-3880,-11234,-10318,-7664,-5370,-3912
-242,-163,-175,-259,-302,-281,-247,-223,-231,-240,-171,-1785,-14042,-20134,-20259,-5242,4160,5269,-4439,-170,-25,-2144,-1766,-1918,1300,5485,964,-10035,-11227,-4456,-2149,-2360,-1896,-814,429,329,-681,-605,-1535,2090
5,37,32,60,61,77,54,44,24,-19,-38,-47,-80,-81,-267,-987,-13682,-23364,-17760,-1994,8224,1204,-2548,-1708,738,-1502,-2075,-2115,-2306,1475,5243,5539,-14029,-14957,-2996,-2125,-5023,-2557,135,882
522,435,459,454,523,536,559,593,667,475,505,609,381,400,551,767,2611,-23177,-27032,-8288,-915,2825,6986,-5735,-208,-151,-1768,-2097,-836,-315,3919,-3919,-10563,-11508,-4481,-1354,-2056,-1593,-508,-320
-225,-224,-213,-204,-164,-202,-153,-116,-72,-91,-26,-52,-72,-114,-174,-848,-19360,-28848,-18447,723,7622,-3869,-5937,-2421,-1068,-3826,-2780,-2252,-109,-201,2143,6267,-4962,-22307,-5782,231,-3310,-3366,-1856,-621
-465,-438,-427,-399,-358,-172,157,395,451,471,375,72,-159,-383,-532,-278,19,281,296,-155,-1128,-8207,-13949,-14265,-12311,-7222,-1908,-13894,-1140,-2297,91,-559,-1748,-1870,981,2662,3478,-3077,-9996,-6759
-321,-320,-44,176,281,426,401,164,137,224,256,156,61,34,115,821,-8549,-22901,-16423,-4557,4555,3061,650,-3640,-411,32,-1131,-2677,-3041,-930,1590,2612,-3101,-5179,-4591,-4937,-2963,-1638,-615,-485
740,594,600,730,1093,1480,2100,1965,899,824,1112,1392,1332,1309,1269,1453,779,-1320,-2551,-1435,-1292,-1036,-6037,-15882,-15220,-7975,-5034,5386,-3613,594,589,-1611,-1414,-2640,-844,3637,3052,-8095,-4567,-1826
-497,-511,-291,-68,92,202,402,545,588,541,117,-200,-1140,-2173,-5071,-16962,-16548,-9406,-3099,-1028,6711,-4960,-340,243,-289,-1646,-2676,-8,-509,2610,2648,-5446,-4858,-3281,-2312,-1280,-1276,-1512,-1024,-1173
1520,1676,1166,-62,-10,529,752,894,884,527,-5764,-16287,-15297,-6409,1692,-1100,4180,-3447,1330,-1419,-1528,-3429,-2416,1805,1786,511,-4641,-3658,-3778,-2969,-2795,-2204,-2028,-1712,-991,-811,-375,1009,2060,408
-222,-104,-129,-176,-314,-177,-48,247,-3747,-14844,-16918,-10326,-3831,-681,-2410,171,-1476,874,904,-2073,-1978,-2087,441,3700,6236,1552,-14625,-2343,7956,1650,-2194,-2285,-1162,-1723,-2719,-2980,-1625,599,687,3474
2807,377,-313,-99,400,299,0,285,517,195,-467,-1045,-1273,-1098,-711,-336,0,527,913,998,739,832,832,904,765,741,429,-413,-803,-851,-995,-5678,-14869,-10859,-7403,-1231,1456,-10165,495,-3500
2413,-826,-13876,-20641,-19668,-7774,-1070,-293,7053,-3206,1046,-213,-1540,-2423,-2063,-1743,-1021,908,3621,77,-9736,-11789,-4063,-78,-1402,-970,-105,-1077,-1700,-11,-234,-645,-319,439,925,794,566,230,283,530
237,198,146,109,98,46,-41,-53,-35,36,459,1737,812,426,-5190,-13590,-16069,-16077,-5398,-827,-13800,-2668,-3974,-25,-680,-1865,-2871,-1650,1549,3243,-1414,-5996,-3913,-3553,-3186,-2961,-2302,-1365,-583,-74
2955,178,-751,-250,514,-192,-571,165,1265,2073,3876,4941,4241,2006,-364,-2364,-12161,-18939,-17369,-9413,3260,1558,10641,-6294,-578,-323,-2415,-2897,-2659,-1257,-62,2328,2773,-4729,-10283,-8737,-4955,-2096,-1520,-1002
-330,-261,-218,-216,-137,91,235,352,226,188,74,-19,-85,-14,14,67,121,98,152,121,96,-3380,-17872,-18775,-12312,-3585,-1136,-10930,-4015,-2510,219,-954,-2812,-1785,-392,699,-1162,-3213,-1919,-3341
204,389,311,128,85,218,214,83,146,296,674,670,867,504,554,885,801,423,455,362,577,849,1076,1326,1720,1499,231,-2654,-10348,-17489,-16489,-8065,-638,-6407,-1945,-1978,-5,-2121,-1455,-2100
-1574,-469,3109,3158,-4501,-14620,-6602,1611,80,-1110,-800,655,704,-957,-794,1474,2233,1953,1343,514,11,-186,-314,-375,-289,-205,-292,-394,-510,-469,-330,-190,-67,38,-52,90,236,280,236,152
274,241,234,240,183,85,71,248,884,-157,-643,477,927,151,-93,-74,-1931,-7190,-11966,-14838,-7132,759,-17899,-4645,-2015,703,-1237,-2820,-1781,-2849,-809,1918,7140,68,-15440,-14559,-4446,278,-392,-1042
188,-821,-76,262,-660,-1751,-1474,-538,287,1190,1574,2071,2167,1738,1431,-4,-21797,-22461,-11072,3397,3244,4918,-5501,959,-1536,-1710,-1334,-2182,2459,3380,-4765,-7225,-2464,-1171,-1168,-1990,-3030,-1371,-224,-194
92,109,-24,1,128,236,176,19,-114,-23,177,238,109,73,314,-6068,-18028,-14344,-7154,-2294,-1935,7422,-4162,-2229,-961,-1180,-538,255,917,3776,-1289,-16597,-6017,-3000,-3132,-2852,-3984,-3839,-2173,-787
115,366,224,389,382,201,334,156,143,34,-73,-2504,-10809,-16285,-16078,-4183,3108,-7648,-1119,-3906,8,-2346,-4141,-1154,870,1714,5069,4762,-12925,-17746,-3512,4348,121,-1711,1414,1488,-214,-1991,-1489,-163
-1194,-991,-532,-696,-693,-150,246,180,143,590,674,230,243,1012,-1079,-12448,-16945,-11845,-3949,60,-17242,-563,-4805,420,-1344,-3025,-2630,-2618,-164,-826,-2674,-3354,-3065,-7575,-9018,47,201,-1841,-1698,-607
-12962,-4805,-486,1335,-5945,1287,-2872,-278,745,-1839,-3071,-2782,-2373,532,3210,5516,624,-15057,-5036,7956,2057,-3148,-2522,-931,-988,-1868,-295,2504,-1757,-2466,1571,2050,1368,1088,975,764,327,-74,-47,1434
648,-421,-653,-151,66,-651,-1279,-1192,-348,42,392,611,-635,-4318,-9452,-7925,-8009,-5691,-1204,-1445,4664,-6357,-523,-1097,-3383,-4347,-1492,593,4075,-582,-6633,-8098,-3164,6002,3162,86,-1802,-1027,-168,-1200
1124,1137,1007,1273,1282,942,181,-313,-2831,-6788,-5004,-3413,-5476,-3872,-218,-1945,3629,-4972,699,34,-1651,-2428,-1458,-1100,2316,3423,-3642,-12513,-2716,2041,-1411,-1459,-316,-952,-2295,-2391,760,-169,-917,-178
-99,-204,-132,13,202,655,1510,1846,1010,-183,-127,335,432,471,407,821,1893,2291,1967,806,240,830,2247,2336,687,-779,-12219,-21341,-11850,-382,534,-19510,-1479,-3238,1050,-922,-2314,-2583,-1647,2097
3001,444,-122,-5404,-11814,-2732,-732,-3334,-3251,-1288,-473,-805,-799,-571,694,1693,2020,2328,1810,1083,572,419,-84,-606,-746,-718,-584,-483,-430,-467,-619,-673,-259,-205,-426,2,3979,3624,2051,1433
-5,-1165,-1505,-5046,-13700,-10849,-6814,-6118,-521,1633,9215,-5200,-843,553,-265,-2132,-2611,-2130,-1938,-505,1237,-1529,-4186,-4134,-4888,-875,987,-395,-1645,-1365,-1548,-2218,-2157,-3006,5398,5532,2978,1984,866,1025
615,933,1159,1088,1000,947,913,908,897,885,902,937,1201,1405,1060,1178,-6725,-21834,-18322,-6396,289,2421,7026,-7395,14,-806,-2892,-3445,-1688,619,3244,2739,-3239,-5258,-7776,-7867,-7421,-8328,-8150,-8732
-305,-424,-512,-623,-686,-577,-508,-492,-456,-339,-206,49,389,659,735,436,122,-129,-183,-168,261,-4173,-19986,-18128,-8957,-3249,7001,-496,-2946,1552,1744,-67,-406,-2538,-1100,-1061,1386,1036,-4879,-8684
-351,-307,-189,-3927,-15623,-16879,-11572,-3861,-194,-19921,-3168,-455,1149,-721,-1055,-431,-838,-339,-291,-392,-1382,-1725,87,-1057,-421,2947,-2108,-14241,-14004,-5210,-2971,-2776,-1903,-1276,-1097,-1400,-1106,-339,104,212
-1822,-1360,-1086,-1025,-976,-915,-989,-978,-971,-1045,-1635,-7671,-18171,-16746,-13618,-1728,-3475,-3383,-1789,776,389,-799,53,-527,-388,-582,-1031,-868,95,-522,-2058,-3617,-5683,-6740,-4624,-5053,-5290,-4780,-3639,-2543
-1343,-1086,-3982,-13973,-13541,-8303,-2248,-1851,-31,3867,-1935,1139,1152,-619,-356,0,-320,237,147,-93,-1256,881,-1516,-1079,2422,242,-5969,-6219,-7426,-4981,-2862,-866,-1075,-1840,-2204,-1617,-559,-242,-302,11
-5740,419,3714,2452,1615,2221,1801,-8,-2008,-2648,-2416,-1707,-1098,-564,-204,-570,-1331,-10140,-16704,-11792,-3160,-2328,-2260,1844,-5524,817,-873,-2296,-2588,-3851,-2316,336,2069,3807,-309,-4900,-7633,-6879,-3802,-1082
38,131,168,158,99,70,36,48,116,-457,-15318,-20466,-12536,-5055,-977,-11751,-6053,382,597,-188,-2254,-1283,-884,76,3194,-7112,-10794,-8108,-7392,-5109,-3044,-2136,-1797,-1724,-1631,-1367,-1052,-490,18,23
-584,-657,-712,-718,-710,-611,-645,-661,-720,-637,-636,-675,-670,-724,-834,-700,-6673,-15887,-13496,-7693,-1555,1498,8326,-4603,-1554,-6,-1641,-2478,-1883,17,3565,2606,-6818,-13339,-10612,-2604,-1584,-2587,-1165,-291
-474,-249,-42,91,329,613,514,176,38,23,-8,-111,139,-2571,-16218,-19864,-12021,-2678,662,8387,-5245,694,477,-1325,-777,-1695,-2204,-1341,-1446,213,-3520,-11136,-8219,-8523,-7608,-5502,-4216,-3722,-2891,-2229
-293,-354,-283,-309,-377,-399,-268,-342,-390,-377,-399,-406,-363,-366,-457,-435,-321,-280,-224,-302,-432,158,-10671,-21360,-14253,-1982,2879,-7302,-5063,690,429,-696,-1128,-2410,-3855,679,2595,1814,-7284,-6535
350,894,2482,1777,875,929,929,1410,1443,1236,917,1013,35,-386,-1602,-7196,-12070,-11273,-7032,-3666,1063,6777,-2187,52,690,-22,-2708,-4399,-3911,490,5322,4753,-2336,-6024,-7932,-4364,-1012,-740,-1550,-607
-1004,-739,-263,377,-158,366,1168,1567,1165,814,147,467,-3681,-18695,-12737,-5682,2838,4320,-9219,-2570,-866,-511,-1313,-1799,-2223,-3068,-1276,851,894,-4144,-6038,-7504,-7214,-4161,-800,-1598,-1677,-1445,-1571,-1425
-3625,-1997,-11982,1645,-3314,506,-2261,-2072,-1991,-2058,-1201,-1567,2407,967,-4621,-6138,-5327,-4483,-3253,-1578,-1450,-1696,-978,-418,-448,-717,-595,-231,161,421,626,830,912,818,612,372,-53,-369,-732,-868
1784,1707,1623,1887,1647,1626,1805,1597,1486,1068,-1411,-15499,-20444,-10930,4368,614,-18708,-2105,61,1058,906,-1137,-1725,-1580,-1848,-619,4107,760,-8213,-7343,-2139,-3801,-4420,-2642,-1447,-623,-140,-72,-297,-558
-46,78,120,161,256,184,168,189,232,577,1811,2958,2142,-410,-18682,-29622,-21449,-6390,-292,-8849,-1494,-2091,2028,-538,-1483,-1929,-1639,-1312,-415,3532,313,-5859,-7289,-6063,-4834,-3912,-1847,-1107,-736,138
654,541,578,633,807,896,782,741,1499,2307,2630,3008,3043,2686,1558,-1103,-7227,-15978,-13201,-6832,-722,4630,-12784,-5152,569,144,284,-1716,-606,-1463,1747,1016,-4777,-7823,-5917,-4850,-3295,-1832,-1100,-673
155,-65,156,256,292,255,402,595,673,739,662,629,569,584,527,611,585,917,1386,1882,1705,749,-842,-1395,-9167,-15755,-11304,-8381,-7917,1008,4918,-6136,931,-597,-1464,-1130,-1996,566,4876,-4566
-13045,-9339,-5552,-4002,-3145,-1927,-568,-121,-297,-419,532,676,983,945,751,467,484,-113,-773,-73,516,1092,746,972,1095,1204,964,963,-6025,-14595,-8962,-912,2375,1238,-4104,-4970,423,-143,268,-1938
335,415,435,413,473,298,164,310,412,597,687,779,1098,1723,1483,1014,823,594,490,159,-1422,-11510,-19963,-13503,-4425,-655,-607,8347,-3821,600,-635,-1762,-2325,-3287,-1261,1520,-1620,-7386,-8867,-6952
930,-2174,-19688,-21911,-9540,2373,-313,3593,-4140,699,-773,-1846,-2403,-2828,-632,-152,3194,-1901,-13305,-11509,-7413,-5496,-3583,-2387,-2063,-1463,-763,-309,73,-58,5,35,121,133,291,247,-66,-354,-681,-794
-667,-444,-231,-66,73,96,-22,-90,-137,-210,-259,-228,-146,-3577,-22636,-23293,-8222,-941,-2733,-3262,1500,2744,-1654,-691,-1332,-1230,-1091,-1903,87,2526,451,-6942,-11428,-6072,-5357,-5880,-5725,-4378,-1332,-2091
-1471,189,-279,-764,-369,-79,16,158,448,414,242,122,-166,-189,-392,-460,-571,-588,-1299,-5823,-15510,-17441,-13050,-7687,-5647,4961,-2731,-1001,2652,-1735,-287,-1141,-240,-618,-2022,1499,-498,-2575,-8355,-6986
-5297,-5157,-5441,-3699,-3423,-1092,-335,255,495,-62,-56,-169,-110,1669,1857,1722,982,766,1016,1307,977,813,371,-1486,-12104,-18666,-13532,-5261,928,12361,-5132,2078,-781,-2459,-2360,-2360,-1898,-1836,-2441,-1213
382,655,978,693,166,-76,-585,-753,-1154,-1058,-996,-1394,-1301,-2170,-8610,-14631,-25537,30853,-29036,6609,-24741,26500,-2102,-6947,-472,5393,9651,13548,10517,4202,-15993,-17921,-16507,-10282,-7769,-5720,-5077,-4560,-3819,-3360
