-399,-164,52,-26,-22,52,161,302,12,-261,1212,2829,1762,2142,1778,-1130,-464,1958,2739,4333,2463,3293,-1932,-37,17,-10,410,24,-851,-2186,-4213,-4350,264,2459,-810,-3019,-3358,-3165,-2422,-1764
45,22,6,2,10,6,-17,-15,-8,12,-3,33,313,620,836,82,-1082,-969,845,2990,2226,2591,4288,4987,3827,1380,1415,199,4,-599,-1971,-2370,-4474,-4872,-474,-2361,-3920,-2177,-211,-224
-30,-52,-33,-16,-13,-12,1,10,6,-17,-20,1268,1606,3135,6281,4602,3355,4316,-137,249,-381,-570,-1878,-4807,-7411,-3988,5075,4299,-4268,-5647,-2011,-157,-425,-1101,-989,-126,13,-546,-2094,-4205
-9,4,1,6,6,5,14,8,10,21,22,14,11,13,136,3068,7261,5000,7020,2167,2601,1338,843,371,-596,-40,-1097,-1887,-6050,-8771,-7926,-1939,346,-3996,-1865,2519,2445,871,792,1593
125,132,38,17,0,29,-19,-52,5,35,-31,83,155,-98,18,272,4505,8691,6179,5973,4391,2902,-1173,-668,-200,169,302,-1169,-2336,-4849,-242,2230,-3099,-3960,-507,456,-40,-741,-564,839
-166,-67,-28,-9,27,39,34,39,48,19,-29,-43,-34,-8,0,949,2197,2789,4558,4976,6172,519,1584,-974,232,-440,-419,-1187,-2752,-5237,-7300,-4748,-470,-5057,-3789,3845,5263,2373,368,338
10,96,181,170,141,157,110,68,81,18,-123,-201,-166,-34,19,84,177,233,234,64,520,1584,1241,3325,7283,6412,4843,-742,434,-646,-411,-661,-1974,-3741,-6155,-5386,-1341,871,-3033,-4892
-144,-162,-104,21,92,108,91,54,17,16,-6,-41,-37,22,-42,426,3640,4480,6654,3628,4257,3212,505,-183,-440,-874,-358,-459,-1832,-3803,-4455,-495,2285,914,-1657,-4511,-5938,-4301,-1639,351
526,403,139,76,51,108,293,420,163,-190,-212,-88,-12,-62,-85,-110,-144,-615,-1357,-979,-525,-257,2799,8691,6606,4449,1500,-792,-714,-159,-203,80,-115,-1111,-3141,-4324,3935,5742,-385,-2008
86,91,106,124,139,120,105,96,46,18,-98,-179,-308,-296,1544,2037,3507,6021,6006,2704,1924,954,-339,-227,-716,-287,-906,-1978,-3112,-3795,1985,4559,-372,-3672,-4886,-4540,-3615,-2216,-326,1160
112,122,11,-212,-449,-571,-330,85,486,988,2974,4467,5291,2776,2564,3018,3410,-731,-312,-155,-230,-405,-1782,-3341,-8,3202,1843,-1801,-4289,-4201,-1947,-77,530,228,435,894,593,65,-221,-1372
-158,-178,-70,-10,5,-67,-86,111,1997,3448,4085,5210,4193,5124,3025,788,-481,-354,-293,-852,-2418,-5381,-8615,-8735,-4910,-791,-4965,-8126,1973,7471,5475,2161,903,1224,1320,-191,-1938,-2640,-2736,-3082
-202,1113,735,196,415,596,196,-248,-241,-125,-93,-74,35,193,312,486,602,656,723,495,120,-82,-101,-59,-75,-88,-22,-117,-386,-473,386,2969,4885,4858,5662,1666,1998,-2552,-58,-212
-55,618,1066,1893,4543,7815,5860,4264,1892,-915,-41,93,65,-793,-2059,-3195,-5635,-6193,-3889,636,626,-1620,-1238,494,816,-111,-20,523,608,1248,2223,1246,-181,-1062,-956,-695,-454,-343,-454,-527
9,8,-20,-52,-103,-94,-85,-57,48,112,169,649,499,853,3343,2791,3224,5192,4045,4150,1761,335,-440,-291,-354,-534,-1333,-4386,-5666,-971,4505,2895,-1756,-4411,-3553,-1443,-524,-353,-389,-30
1026,326,-1835,-2493,-1333,200,612,975,1611,1447,898,668,227,-991,-2537,-742,1906,2689,3961,5033,6143,3528,-716,-119,-469,-166,-169,-359,-1372,-3089,-5046,-4138,391,2131,-2178,-4594,-2650,-365,191,-504
-18,-12,40,101,86,91,75,46,8,-29,-14,0,18,29,6,-30,-9,14,-4,-20,73,2150,3363,2970,4992,5101,5757,-2485,157,-567,-150,-304,-989,-2716,-3857,-1490,566,112,-3309,-6107
-82,-163,-230,-253,-291,-391,-206,-139,-51,2,128,113,22,-29,39,305,347,31,-87,-74,-95,-114,-88,7,173,225,128,1463,3347,2769,4290,5047,4372,2217,183,-267,-5,-191,-1304,-1636
-4463,-6625,-4904,889,2477,-4223,-5430,-1882,1792,2279,557,-207,408,108,-1768,-2358,-1251,15,569,433,29,-262,-276,-199,-113,-13,-5,-79,-154,-207,-212,-192,-113,29,169,181,211,216,192,141
38,40,50,17,4,18,52,365,627,-158,-1173,-229,1023,413,-394,-88,1514,3826,6493,6969,3043,3461,-349,397,-1086,-491,19,-82,-1278,-2777,-6176,-8107,-4551,3516,2497,-1425,-3233,-1884,-525,-337
1166,-1416,-2625,-2145,-493,337,494,221,-48,181,605,811,875,255,-485,2075,5894,6764,4549,2584,3338,3247,-402,-593,-34,-1243,-1819,-4308,-6871,1146,5640,2366,-1313,-3470,-5119,-5514,-4395,-1695,1064,1858
35,254,303,112,-102,-164,-149,-91,-72,0,67,91,103,145,1100,4801,6128,7772,5685,2871,675,939,-533,-273,-144,-835,-3198,-5435,-7373,-7051,-748,279,-777,2157,2017,1956,1796,1070,199,-1079
31,-21,-113,-149,-55,-202,-276,-211,-172,-93,363,2212,2913,3236,6619,5190,3321,-2684,1005,-829,-90,176,-624,-3460,-5681,-6418,-4446,1976,780,-8082,-5724,1900,4900,1062,-842,209,1232,386,-1190,-1545
-7,-407,-651,-739,-826,-660,-306,77,127,137,331,221,-81,267,2989,6081,5109,7042,3414,2516,-3063,-270,-717,51,328,140,-1197,-3078,-2246,-231,1094,-785,-5434,-8373,-7170,-1023,3291,3188,1018,20
8536,2942,537,615,479,-602,39,-187,-480,-86,-1062,-2562,-5721,-7907,-6886,-2610,233,-4908,-7408,1304,7367,4742,831,-341,325,402,-188,2992,3630,-311,-3296,-1354,-419,-376,-381,-304,-442,-708,-846,195
2110,1785,403,-542,-297,9,-318,-829,-843,-403,-31,577,2157,3341,1618,1242,4182,5497,3933,3499,-2065,1050,-586,-121,-511,-2524,-4357,-5899,-3051,2048,-659,-8771,-8771,-4180,5676,7459,4276,822,127,186
-18,29,-139,-184,-97,-219,-520,347,3402,4970,3344,3137,5882,2603,2863,2259,2594,-1316,-190,-62,-257,-1183,-3047,-6163,-8093,-5622,-3069,-3349,-1006,2684,2464,225,29,750,1058,608,1667,2780,1175,-779
45,-93,-200,-180,93,382,812,780,287,-606,-1053,-622,132,456,397,381,646,743,604,135,-953,-1242,91,1686,1035,1128,5364,4661,3813,4475,3601,-629,349,-34,-52,-378,-803,-2368,-6100,-8016
-5103,-1570,-1520,-1899,-3027,188,3058,2509,314,-538,317,910,484,-674,-1889,-1871,-1505,-723,57,274,13,-70,37,12,9,143,235,268,234,280,337,264,253,577,300,-269,713,1786,-12,-757
-754,-1319,-1400,1948,5678,5109,5430,4148,2461,3232,2487,-437,-291,-547,-361,211,-734,-2002,-4014,-5568,-4800,-2616,-3927,-4937,-2634,215,3726,4679,2731,500,-389,-1256,-1524,-2655,-2414,216,-53,413,771,1526
-150,-79,50,126,89,19,-15,-48,-33,-35,-44,-48,-34,0,-111,407,3432,3568,4035,4359,4440,3192,1616,402,-133,32,-94,-1389,-3864,-5912,-4315,413,1779,-2422,198,92,1059,837,1663,593
-375,-257,-131,-8,11,7,52,74,98,186,210,191,190,120,19,-33,-66,-75,-93,14,211,3822,3699,3467,6098,5058,4541,1840,-228,-729,578,288,-566,-2432,-2629,-3705,-3836,-1913,2,-2403
-16,-29,225,2058,3146,4218,5207,4906,5073,2030,472,-871,-255,164,140,-70,-179,-70,51,-310,-1219,-2444,-3005,-2807,-5550,-6014,-1342,-345,-204,-53,624,289,-218,-371,-223,-392,-785,-825,-586,-217
-139,-178,-133,-95,-102,-82,-32,-37,-3,36,786,2988,3041,5447,8241,4834,3544,3560,-1585,-402,-60,350,72,-24,-155,-310,-995,-2174,-1737,-2099,-1025,-627,-1512,-2726,-4289,-2918,-1960,-1292,-845,-442
-5,470,3225,4628,3418,4967,4536,3784,1728,-448,-569,-295,-294,238,21,78,-170,-65,-49,-286,-1287,-1708,-1906,-5253,-5227,-565,613,-151,744,791,-573,-914,-30,797,699,-122,-822,-1345,-1511,-1318
604,-159,453,45,-1297,-1677,-935,169,-72,-1036,-1398,-835,42,577,903,1041,1490,3320,3625,3000,3150,4172,2017,737,-392,-88,-63,-58,-215,-1259,-3494,-5159,-4465,-887,2989,1763,-2448,-4140,-2317,-914
2,10,30,35,18,9,14,-5,-20,1636,3979,2516,4826,6480,5415,-1707,1174,-742,-443,346,-357,-2432,-2479,-4138,-3100,-790,-3720,-3815,-1494,150,559,690,719,604,252,54,-203,-470,-454,-277
-6,-22,0,16,1,5,3,-5,-8,-18,-18,-41,-52,-40,-19,861,3332,2887,4776,4619,2213,2343,-2947,763,-614,-415,-341,-1793,-3129,-6609,-6711,-1160,507,-2042,-2873,-90,1730,590,-567,-216
75,211,513,607,418,169,103,40,-54,-15,39,-46,61,2223,3409,3142,5304,4461,3665,-1859,1289,-492,60,404,247,-243,-1206,-2684,-3286,-6571,-6286,-6318,-2376,-130,-456,-43,778,1408,1021,68
6,23,-6,11,27,54,17,18,10,10,4,13,-5,-21,-21,-27,-14,1,-6,-29,-31,827,4645,5893,5663,2576,3240,3745,1437,-468,-96,291,-123,-1227,-3452,-5065,-5051,-1145,-17,-1224
