-36,-48,-83,-64,-43,-31,-10,-11,-37,-75,-101,-83,-75,-57,-55,-1,63,137,327,605,828,2853,2256,2712,3270,4146,3451,-91,-1850,-2088,-1160,-1477,-1935,-1636,-2020,-1269,-1380,360,-469,185
77,-181,-593,179,368,403,313,57,-30,-83,-86,-50,-8,-40,-50,-63,-44,-72,-24,-53,-60,-101,-97,-209,-171,210,14,473,478,671,776,1629,1112,1075,1314,-437,-1576,-2051,-2123,-1828
-1845,-1514,-322,-201,159,537,864,692,331,208,-154,-225,-192,-291,-349,-331,-84,809,1969,2732,2004,86,1081,3290,3480,2453,2852,-1274,-1633,-2751,-1902,-2252,-2610,-2875,-2221,227,-100,-37,201,379
258,53,1314,580,262,35,-116,-229,-220,-167,-97,-66,-156,-52,-103,226,916,1021,1345,2517,3539,2727,1888,1996,-173,-1571,-2119,-2279,-2297,-2049,-2150,-934,-470,1027,0,-16,880,571,327,-144
-39,-149,-116,-9,35,-30,69,137,76,28,-50,-91,-156,-157,-151,-95,152,537,1296,2732,3348,4396,4595,2623,-215,-2330,-2137,-1824,-1374,-727,38,-693,147,1199,1119,1694,359,-392,25,162
-217,-270,-245,-373,-337,-235,-104,-95,68,-99,134,620,1480,2424,2669,3341,3570,1884,1338,-482,-739,-1232,-1775,-2282,-2430,-2418,-2208,-2044,-2017,-1488,-1077,-735,-182,-229,-7,168,207,11,-49,-61
-79,-124,-133,-106,-2,231,443,857,1622,2007,1916,1933,2318,1937,2358,3544,1856,-1330,-2703,-2976,-2805,-3406,-1572,-284,-240,-81,277,249,56,-45,-118,-87,-72,-51,-16,-9,-19,-30,-35,-43
-26,-73,-47,-39,-57,-53,-73,-72,-93,-103,-84,-22,532,1510,3628,4219,4804,4803,3850,4207,-61,-566,-1253,-1865,-2871,-3358,-3363,-2776,-2752,-1336,-834,-148,-387,-76,276,-32,8,-63,-54,-43
-20,-52,55,118,121,129,272,308,304,261,281,419,385,425,456,1318,2444,4313,6044,6083,3686,2988,3297,1133,-501,-1198,-1186,-1078,-1794,-2359,-2908,-4387,-5099,-5041,-3550,-2129,-344,-17,-292,-306
-134,-286,-237,-137,-142,-96,-78,-34,-26,-30,6,-20,38,149,506,790,1146,1004,1571,2301,3916,4596,4302,4080,2193,-844,-1995,-1503,-1130,-1203,-1447,-1778,-1851,-1897,-1885,-1716,-1576,-1522,-1578,-1334
-1305,-1300,-1114,-925,-795,-607,-408,-75,585,825,567,99,12,-231,-430,-507,-255,1031,2057,2641,2662,2734,2663,2624,2199,2851,803,-1664,-1946,-1039,-973,-1509,-2210,-2800,-2859,-2735,-2401,-2229,-1836,-1542
-67,-27,-31,-40,-92,-91,-77,-68,-81,-83,-62,-68,-69,-72,20,-139,-611,-364,872,2083,1875,1601,1813,4460,4533,2448,2222,1400,206,-959,-461,-23,-420,-1164,-2144,-2739,-3082,-2979,-2357,-2122
-471,-1042,-632,658,727,533,679,275,39,292,60,-159,47,123,252,152,493,1581,1541,2088,2204,2920,2531,1178,1134,1229,-816,-1631,-2295,-3237,-3245,-3540,-3285,-2943,-2213,-1361,-733,-426,-142,-92
-137,-2,-1,49,58,31,-20,-42,-29,-74,-25,-26,-5,-19,-10,21,60,143,304,642,2039,3076,1799,927,741,762,1175,2266,2657,1230,929,1587,-312,-1589,-1753,-1890,-2352,-2909,-2364,-2897
-3129,-3283,-2737,-2476,-1554,-312,146,-91,-70,-104,-125,-126,-102,-98,-122,-140,-172,-234,-301,376,1603,3178,2796,3146,4178,4839,3754,3362,3098,472,-505,-1535,-2511,-3579,-3664,-3177,-2812,-2213,-1934,-184
-912,-945,-326,-175,-177,-200,-187,-205,-207,-270,-400,2,2119,3800,2886,1875,1813,1969,2157,1635,2185,1564,-1204,-985,-795,-1044,-1371,-1888,-1825,-2130,-1705,-1954,-1207,-671,-758,-539,-662,-368,-402,-16
-62,-130,-142,-132,-190,-275,-477,-196,799,1967,3761,2663,2819,2453,1940,2526,2859,309,-245,-814,-1397,-2676,-3433,-3196,-1561,-745,-1031,-909,-863,-502,-297,-714,285,-10,-109,-187,-176,-254,-145,-166
-45,-8,-20,-7,-38,-64,98,433,1601,4013,3231,2437,422,835,2003,3440,-483,-3647,-4143,-3680,-4605,-4412,-3715,-3208,-1994,-1563,-1056,-632,-479,-492,-440,-377,-231,-228,-159,-219,-127,-164,-99,-102
-68,-52,32,59,109,126,47,-35,-114,-126,-216,-202,-369,-397,-385,-464,-273,27,165,501,809,2373,2898,3769,6298,8399,8138,4657,1024,-1582,-2660,-3112,-3248,-3486,-3615,-3427,-3213,-2633,-2233,-1746
-1245,-756,-798,-245,394,616,438,443,370,210,164,13,-113,-269,-276,-173,-65,56,35,15,-44,1,-104,92,54,304,1136,1942,2151,2703,3369,4670,4904,2478,1382,-283,-1148,-2222,-2754,-3152
-79,-77,-75,-34,5,-25,-13,-53,-84,-90,-130,-156,-73,593,1173,1951,2712,3676,5048,4921,4573,3859,-102,-1674,-3392,-5191,-5483,-4731,-3784,-2431,-1669,-785,53,483,325,311,359,146,146,84
21,-28,-32,-36,-83,-53,-9,-31,-28,16,-36,7,559,1354,1844,4490,6657,6690,2765,1119,416,-260,-672,-1614,-2026,-1236,-672,-743,-789,-1475,-1989,-995,-792,-888,256,340,249,55,-5,-191
-207,-246,-150,-145,40,-19,20,80,79,32,-38,-172,-213,-295,-394,-92,239,963,1717,2375,3340,5507,6625,5287,3717,1642,-1243,-2476,-3602,-4548,-4249,-3607,-2805,-2181,-1235,-667,-339,-312,-205,-130
21,0,-101,-267,-187,-156,-94,-66,-83,-91,-156,-131,-176,-443,493,1396,1388,1987,4302,6452,5719,3535,939,-607,-1676,-3072,-3715,-3626,-2731,-2605,-2007,-1156,-720,-390,-327,-298,-445,-294,-280,-143
-70,-38,-93,-98,-117,-104,-100,-118,-113,9,1073,1841,2685,3532,3564,2421,1059,-354,-2400,-3151,-3410,-3305,-2843,-1751,-1102,-633,144,562,681,419,130,21,198,307,70,58,-106,-101,-108,-80
-45,-12,-145,-101,-100,-123,-130,-120,-228,-410,-326,890,2505,3852,5345,7199,6284,4535,2036,-2104,-4203,-5145,-5705,-5193,-4117,-3260,-2147,-886,-193,-121,-238,-221,-260,-194,-115,-81,-24,17,31,32
-49,-67,-9,21,38,87,45,22,-13,-60,-67,-116,-109,-144,-137,-277,-452,-561,-429,140,805,1502,1786,3560,5369,4438,3038,1354,-1310,-4029,-3772,-3901,-3880,-3537,-2426,310,-280,407,207,72
-481,949,2542,4290,3341,2618,-255,-2623,-4284,-5505,-3974,-2877,-2311,-1611,-1042,-634,-575,-395,-386,-289,-179,-102,-146,-127,-140,-166,-126,-132,-91,-61,-69,-37,-60,-100,-53,-37,-41,-55,-77,-98
-49,-80,-89,-94,-79,-94,-72,-65,-54,-64,-80,-97,-99,-94,-63,-41,-3,421,1566,2462,2864,2509,3752,4569,3749,2172,989,-356,-571,-1072,-1903,-2446,-2606,-2168,-1956,-1761,-1395,-1022,-791,-861
-575,-604,-484,-466,-314,-98,299,554,249,65,-76,-190,-272,-233,73,1320,2196,2347,3617,5123,6351,5233,2787,477,-1606,-1391,-2733,-3187,-2950,-2674,-2487,-2152,-1603,-1243,-1004,-488,-312,-62,-6,31
284,344,506,522,432,431,326,243,-74,-271,-144,-92,-144,-104,50,33,-49,-323,616,1433,1491,2521,4158,3073,2537,320,-417,-1107,-2020,-2941,-3208,-3044,-3143,-2461,-1771,-893,-589,-327,-235,37
-12,23,89,105,126,49,8,-17,-39,-89,-141,-164,-121,-103,-108,-100,-173,-301,-365,305,2140,2787,1568,3933,4599,3183,1421,-7,-930,-528,-1152,-2148,-2443,-2502,-2067,-1907,-1540,-1484,-1480,-1505
-1237,-1111,-1024,-775,-570,-312,-91,256,578,523,178,98,129,-606,-1086,-1026,97,1731,2925,1598,1498,4021,5678,5957,4549,-359,-1626,-1437,-2135,-2995,-3384,-3046,-2890,-2821,-2643,-2540,-2362,-2137,-1913,-1575
-1289,-987,-1010,-667,-413,-181,-105,-126,-137,-79,20,-1,47,82,23,73,78,171,199,126,0,-81,-120,27,-74,-157,-118,-17,60,51,48,137,1935,2028,1815,2906,4285,4017,3395,2073
